post_type,post_id,codice_electa,post_title,anno_opera,tax_materiali,misure_opera,tax_tipologia_opera,tax_tipo_opera,tax_subtipo_opera,esemplari_opera,file_immagine,id_import,codice_opera,post_status
catalogo,17814,T 80 127,Senza titolo / (Untitled),circa 1980,tempera ad pastel on white cardboard ,350 x 250 mm,works on paper/canvas,mixed media,,,T_80_127.jpg,17814,7814,publish
catalogo,17815,T 80 128,Senza titolo / (Untitled),circa 1980,tempera on paper ,347 x 248 mm,works on paper/canvas,mixed media,,,T_80_128.jpg,17815,7815,publish
catalogo,17816,T 80 129,Senza titolo / (Untitled),circa 1980,tempera and colour pastel on paper ,350 x 250 mm,works on paper/canvas,mixed media,,,T_80_129.jpg,17816,7816,publish
catalogo,17817,T 81 092,Senza titolo / (Untitled),1981,tempera and contè pencil on paper,348 x 247 mm,works on paper/canvas,mixed media,,,T_81_092.jpg,17817,7817,publish
catalogo,17818,T 81 093,Senza titolo / (Untitled),1981,tempera and colour pastel on paper,348 x 247 mm,works on paper/canvas,mixed media,,,T_81_093.jpg,17818,7818,publish
catalogo,17819,T 81 094,Senza titolo / (Untitled),1981,tempera and colour pastel on paper,348 x 247 mm,works on paper/canvas,mixed media,,,T_81_094.jpg,17819,7819,publish
catalogo,17820,T 81 095,Senza titolo / (Untitled),1981,tempera and colour pastel on paper,348 x 247 mm,works on paper/canvas,mixed media,,,T_81_095.jpg,17820,7820,publish
catalogo,17821,T 81 096,Senza titolo / (Untitled),1981,tempera and colour pastel on paper,348 x 247 mm,works on paper/canvas,mixed media,,,T_81_096.jpg,17821,7821,publish
catalogo,17822,T 81 097,Senza titolo / (Untitled),1981,tempera and contè pencil on paper,348 x 247 mm,works on paper/canvas,mixed media,,,T_81_097.jpg,17822,7822,publish
catalogo,17823,T 81 098,Senza titolo / (Untitled),1981,tempera and pencil on paper ,348 x 247 mm,works on paper/canvas,mixed media,,,T_81_098.jpg,17823,7823,publish
catalogo,17824,T 81 099,Senza titolo / (Untitled),1981,"tempera, pastel and pencil on paper ",348 x 247 mm,works on paper/canvas,mixed media,,,T_81_099.jpg,17824,7824,publish
catalogo,17825,T 81 100,Senza titolo / (Untitled),1981,tempera and colour pastel on paper,348 x 247 mm,works on paper/canvas,mixed media,,,T_81_100.jpg,17825,7825,publish
catalogo,17826,T 81 101,Senza titolo / (Untitled),1981,tempera and pastel on paper,348 x 247 mm,works on paper/canvas,mixed media,,,T_81_101.jpg,17826,7826,publish
catalogo,17827,T 81 102,Senza titolo / (Untitled),1981,pastel and tempera on paper,348 x 247 mm,works on paper/canvas,mixed media,,,T_81_102.jpg,17827,7827,publish
catalogo,17828,T 81 103,Senza titolo / (Untitled),1981,"tempera, pastel and contè pencil on paper",348 x 247 mm,works on paper/canvas,mixed media,,,T_81_103.jpg,17828,7828,publish
