post_type,post_id,codice_electa,post_title,anno_opera,tax_materiali,misure_opera,tax_tipologia_opera,tax_tipo_opera,tax_subtipo_opera,esemplari_opera,file_immagine,id_import,codice_opera,post_status
catalogo,18787,1960 14/14-1,I Sette Savi / (The Seven Sages),1960 (1969),plaster,"229 x 53,5 x 31 cm (each element)",Sculptures, ,,,1960_14/14-1.jpg,18787,8787,publish
catalogo,18788,1960 14B,Senza titolo / (Untitled),circa 1960,glazed polychrome ceramic,32 x 49 cm,bas reliefs,ceramic,,,1960_14B.jpg,18788,8788,publish
catalogo,18789,1960 15,I Sette Savi / (The Seven Sages),1960 (1978),plaster,225 x 55 x 31 cm (each element),sculptures, ,,   ,1960_15.jpg,18789,8789,publish
catalogo,18790,1960 15B,Senza titolo / (Untitled),circa 1960,glazed polychrome ceramic,40 x 52 cm,bas reliefs,ceramic,,,1960_15B.jpg,18790,8790,publish
catalogo,18791,1960 16,I Sette Savi / (The Seven Sages),1960 (1981),marble,225 x 55 x 31 cm,sculptures, ,,,1960_16.jpg,18791,8791,publish
catalogo,18792,1960 16B,Senza titolo / (Untitled),circa 1960,glazed polychrome ceramic,50 x 69 cm,bas reliefs,ceramic,,,1960_16B.jpg,18792,8792,publish
catalogo,18793,1960 3B,L'ondata / (The Wave),circa 1960,"plaster, mixed media, glazed fragments and wood",50 x 70 cm,bas reliefs,plaster/others,, ,1960_3B.jpg,18793,8793,publish
catalogo,18794,1960 5B,Senza titolo / (Untitled),circa 1960,glazed polychrome ceramic,"29,5 x 86 cm",bas reliefs,ceramic,,,1960_5B.jpg,18794,8794,publish
catalogo,18795,1960 6B,Senza titolo / (Untitled),circa 1960,glazed polychrome ceramic,31 x 90 cm,bas reliefs,ceramic,,,1960_6B.jpg,18795,8795,publish
catalogo,18796,1960 7B,Senza titolo / (Untitled),circa 1960,glazed polychrome ceramic,12 x 51 cm,bas reliefs,ceramic,,,1960_7B.jpg,18796,8796,publish
catalogo,18797,1961 1,Senza titolo / (Untitled),1961,brass,35 x 15 x 15 cm,Sculptures, ,,,1961_1.jpg,18797,8797,publish
