post_type,post_id,codice_electa,post_title,anno_opera,tax_materiali,misure_opera,tax_tipologia_opera,tax_tipo_opera,tax_subtipo_opera,esemplari_opera,file_immagine,id_import,codice_opera,post_status
catalogo,10003,1944 3,Medusa,circa 1944 ,glazed ceramic,40 x 60 cm ,Sculptures,,,,1944_3.jpg,10003,3,publish
catalogo,10004,1933 21,Senza titolo / (Untitled) ,circa 1933 ,plaster,h. 74 cm circa,Sculptures,,,,1933_21.jpg,10004,4,publish
catalogo,10005,1943 19,Senza titolo / (Untitled) ,circa 1943 ,terracotta,"20 x 7,5 x 5,5 cm",Sculptures,,,,1943_19.jpg,10005,5,publish
catalogo,10009,1929 2,Ritratto di Fortunato Depero / (Portrait of Fortunato Depero),circa 1929 ,plaster,,Sculptures,,, ,1929_2.jpg,10009,9,publish
catalogo,10010,1945 14,Senza titolo / (Untitled) ,circa 1945 ,terracotta,30 x 15 cm,Sculptures,,,  ,1945_14.jpg,10010,10,publish
catalogo,10011,1929-1930 5,Volto / (Face) ,1929 - 1930,terracotta,21 x 14 cm,Sculptures,,, ,1929-1930_5.jpg,10011,11,publish
catalogo,10012,1932 4,Il Figlio dell'Uomo / (The Son of The Man),circa 1932 ,plaster,,Sculptures,,,,1932_4.jpg,10012,12,publish
catalogo,10015,1933 13,Senza titolo / (Untitled),circa 1933 ,clay,"28,5 x 11 x 12 cm",Sculptures,,,,1933_13.jpg,10015,15,publish
catalogo,10016,1929 1,Busto / (Chest) ,circa 1929 ,plaster,,Sculptures,,, ,1929_1.jpg,10016,16,publish
catalogo,10023,1945 4,Animale sbagliato / (Wrong Animal),circa 1945,terracotta,"8,5 x 12 x 5 cm",Sculptures,,,,1945_4.jpg,10023,23,publish
catalogo,10029,1945 2,Il sogno / (The Dream),circa 1945,terracotta,,Lillte Theaters,,,,1945_2.jpg,10029,29,publish
catalogo,10035,1929-1930 4,Ritratto / (Portrait),1929 - 1930,plaster,"36 x 20 x 21,5 cm",Sculptures,,,,1929-1930_4.jpg,10035,35,publish
catalogo,10036,1933 18,Senza titolo / (Untitled) ,circa 1933,terracotta,"12,5 x 26 x 13,5 cm",Sculptures,,,,1933_18.jpg,10036,36,publish
catalogo,10041,1933 8,L'Eco / (The Echo),circa 1933 ,bronze,53 x 41 x 26 cm,Sculptures,,,,1933_8.jpg,10041,41,publish
catalogo,10042,1945 15,Senza titolo / (Untitled) ,circa 1945,terracotta,25 x 10 cm,Sculptures,,, ,1945_15.jpg,10042,42,publish
