post_type,post_id,codice_electa,post_title,anno_opera,tax_materiali,misure_opera,tax_tipologia_opera,tax_tipo_opera,tax_subtipo_opera,esemplari_opera,file_immagine,id_import,codice_opera,post_status
catalogo,11272,1952 2,"Disputa dell'Angelo, del Diavolo e della Morte / (Debate of the Angel, the Devil and the Death)",1952,terracotta,/,sulptures,/,,,1952_2.jpg,11272,1272,publish
catalogo,13219,T 57 050,Guerra e pace / (War and Peace),circa 1957,tempera on paper,495 x 700 mm,works on paper/canvas,mixed media,,,T_57_050.jpg,13219,3219,publish
catalogo,13228,T 60 019,Senza titolo / (Untitled),1960,tempera and pastel on paper,698 x 999 mm; frame 73 x 103 cm,works on paper/canvas,mixed media,,,T_60_019.jpg,13228,3228,publish
catalogo,13230,T 58 042,Senza titolo / (Untitled),circa 1958,"tempera, pastel and burn marks on paper ",697 x 995 mm,works on paper/canvas,mixed media,,,T_58_042.jpg,13230,3230,publish
catalogo,13244,T 57 045,Una linea / (A Line),1957,tempera and pastel on cardboard ,701 x 999 mm,works on paper/canvas,mixed media,,,T_57_045.jpg,13244,3244,publish
catalogo,13248,T 59 054,Senza titolo / (Untitled),circa 1959,"tempera, pencil, pastel and varnish on cardboard",698 x 998 mm,works on paper/canvas,mixed media,,,T_59_054.jpg,13248,3248,publish
catalogo,13260,T 59 052,Senza titolo / (Untitled),circa 1959,tempera and burn marks on paper ,698 x 997 mm,works on paper/canvas,mixed media,,,T_59_052.jpg,13260,3260,publish
catalogo,13281,T 57 051,Senza titolo / (Untitled),circa 1957,tempera and pencil on paper,700 x 540 mm,works on paper/canvas,mixed media,,,T_57_051.jpg,13281,3281,publish
catalogo,13283,T 58 043,Senza titolo / (Untitled),circa 1958,tempera on paper,500 x 688 mm,works on paper/canvas,mixed media,,,T_58_043.jpg,13283,3283,publish
catalogo,13299,T 58 037,Senza titolo / (Untitled),1958,tempera and painted fabric on paper,700 x 925 mm,works on paper/canvas,mixed media,,,T_58_037.jpg,13299,3299,publish
catalogo,13302,T 58 014,Senza titolo / (Untitled),1958,tempera on paper,483 x 704 mm,works on paper/canvas,mixed media,,,T_58_014.jpg,13302,3302,publish
catalogo,13303,T 58 033,Senza titolo / (Untitled),1958,tempera and conté pencil on paper,470 x 700 mm,works on paper/canvas,mixed media,,,T_58_033.jpg,13303,3303,publish
catalogo,13304,T 57 033,Senza titolo / (Untitled),1957,pencil and charcoal on paper,466 x 700 mm,works on paper/canvas,mixed media,,,T_57_033.jpg,13304,3304,publish
catalogo,13378,T 58 039,Senza titolo / (Untitled),1958,tempera and pastel on paper ,700 x 1000 mm,works on paper/canvas,mixed media, ,,T_58_039.jpg,13378,3378,publish
catalogo,13403,T 60 030,Senza titolo / (Untitled),1960,"tempera, charcoal and pencil on paper",697 x 1000 mm,works on paper/canvas,mixed media, ,,T_60_030.jpg,13403,3403,publish
