post_type,post_id,codice_electa,post_title,anno_opera,tax_materiali,misure_opera,tax_tipologia_opera,tax_tipo_opera,tax_subtipo_opera,esemplari_opera,file_immagine.jpg,id_import,codice_opera,post_status
catalogo,12958,PT 053,Piatto / (Plate),circa 1955,glazed polychrome ceramic,26 Ø cm,ceramics,plates,,,PT_053.jpg,2958,2958,publish
catalogo,12965,PT 060,Piatto / (Plate),circa 1955,glazed polychrome ceramic                                                                                                                                                                                                             ,3 x 20 cm,ceramics,plates,,,PT_060.jpg,2965,2965,publish
catalogo,12998,BE 026,Cavallino / (Little Horse),circa 1955,glazed ceramic,19 x 17 x 4 cm,ceramics,animals,,,BE_026.jpg,2998,2998,publish
catalogo,12999,BE 027,Cavallino / (Little Horse),circa 1955,glazed ceramic,19 x 17 cm,ceramics,animals,,,BE_027.jpg,2999,2999,publish
catalogo,13000,BE 028,Cavallino / (Little Horse),circa 1955,glazed ceramic,24 x 15 cm,ceramics,animals,,,BE_028.jpg,3000,3000,publish
catalogo,13001,BE 029,Cavallino / (Little Horse),circa 1955,glazed ceramic,15 x 20 cm,ceramics,animals,,,BE_029.jpg,3001,3001,publish
catalogo,13005,BE 033,Cavallino / (Little Horse),circa 1955,glazed polychrome ceramic,21 x 19 x 5 cm,ceramics,animals,, ,BE_033.jpg,3005,3005,publish
catalogo,13006,BE 034,Cavallino / (Little Horse),circa 1955,glazed ceramic,"25 x 15,5 x 5 cm",ceramics,animals,, ,BE_034.jpg,3006,3006,publish
catalogo,13012,BE 039,Cavallino / (Little Horse),circa 1955,glazed ceramic,18 x 26 x 9 cm,ceramics,animals,,,BE_039.jpg,3012,3012,publish
catalogo,13015,BE 041,Cavallino / (Little Horse),circa 1955,glazed ceramic,"24,5 x 13 x 4,5 cm",ceramics,animals,,,BE_041.jpg,3015,3015,publish
catalogo,13033,BE 055 / 055-1,Gallo / (Rooster),circa 1955,glazed polychrome ceramic                                                                                                                                                                                                                         ,14 x 19 cm,ceramics,animals,,,BE_055_/_055-1.jpg,3033,3033,publish
catalogo,13050,BE 069,Pesce / (Fish),circa 1955,glazed polychrome ceramic and glass ,18 x 26 cm,ceramics,animals,,,BE_069.jpg,3050,3050,publish
catalogo,13093,PA 21,Vaso pavone / (Peacock Vase),circa 1950,glazed polychrome ceramic                                                                                                                                                                                                                         ,"52,5 x 51,5 x 26,5 cm",ceramics,vases,peacock vase,,PA_21.jpg,3093,3093,publish
catalogo,13198,1955 17,Kore ,circa 1955,glazed ceramic,h. 102 cm,Sculptures,,,,1955_17.jpg,3198,3198,publish
catalogo,13199,PI 015,Senza titolo / (Untitled),circa 1955,glazed polychrome ceramic                                                                                                                                                                                                                         ,"46,5 x 46,5 cm",bas reliefs,ceramic,,,PI_015.jpg,3199,3199,publish
catalogo,13217,T 55 052,Senza titolo / (Untitled),circa 1955,tempera and pastel on paper,500 x 625 mm,works on paper/canvas,mixed media,,,T_55_052.jpg,3217,3217,publish
catalogo,13222,T 55 049,Senza titolo / (Untitled),circa 1955,tempera and pastel on paper,475 x 700 mm,works on paper/canvas,mixed media,,,T_55_049.jpg,3222,3222,publish
catalogo,13223,T 55 050,Piccolo teatro / (Little Theater),circa 1955,"tempera, pastel and burn marks on paper",700 x 500 mm,works on paper/canvas,mixed media,,,T_55_050.jpg,3223,3223,publish
catalogo,13225,DIS 59 005,Disegno - Progetto per scultura / (Drawing - Project for Sculpture),circa 1959,tempera and colour pastel on paper,503 x 349 mm,works on paper/canvas,drawings,,,DIS_59_005.jpg,3225,3225,publish
catalogo,13232,T 53 003,Senza titolo / (Untitled),1953,tempera and burn marks on paper,697 x 997 mm,works on paper/canvas,mixed media,,,T_53_003.jpg,3232,3232,publish
catalogo,13233,T 53 022,Senza titolo / (Untitled),circa 1953,"tempera, pastel and burn marks on paper",699 x 999 mm; frame 73 x 103 cm,works on paper/canvas,mixed media,,,T_53_022.jpg,3233,3233,publish
catalogo,13234,T 53 024,Senza titolo / (Untitled),circa 1953,tempera and conté pencil on paper ,698 x 999 mm,works on paper/canvas,mixed media,,,T_53_024.jpg,3234,3234,publish
catalogo,13235,T 55 037,Senza titolo / (Untitled),1955,tempera and pastel on paper,695 x 425 mm,works on paper/canvas,mixed media,, ,T_55_037.jpg,3235,3235,publish
catalogo,13249,T 54 021,Senza titolo / (Untitled),1954,"pastel, charcoal and tempera on paper",700 x 998 mm,works on paper/canvas,mixed media,,,T_54_021.jpg,3249,3249,publish
catalogo,13251,T 53 004,Senza titolo / (Untitled),1953,tempera and pastel on paper,697 x 1000 mm,works on paper/canvas,mixed media,,,T_53_004.jpg,3251,3251,publish
catalogo,13255,T 55 051,Senza titolo / (Untitled),circa 1955,tempera and burn marks on paper,998 x 698 mm,works on paper/canvas,mixed media,,,T_55_051.jpg,3255,3255,publish
catalogo,13256,DIS 59 006,Disegno - Progetto per scultura / (Drawing - Project for Sculpture),circa 1959,pencil and tempera on paper,501 x 356 mm,works on paper/canvas,drawings,,,DIS_59_006.jpg,3256,3256,publish
catalogo,13259,DIS 59 004,Disegno - Progetto per scultura / (Drawing - Project for Sculpture),circa 1959,pencil and tempera on paper,500 x 345 mm,works on paper/canvas,drawings,,,DIS_59_004.jpg,3259,3259,publish
catalogo,13292,DIS 60 006,"Disegno - Progetto per scultura ""Le streghe II""/ (Drawing - Project for Sculpture ""The Witches II"")",1960,burn marks and sanguine pencil on paper ,312 x 483 mm,works on paper/canvas,drawings,,,DIS_60_006.jpg,3292,3292,publish
catalogo,13293,DIS 60 005,"Disegno - Progetto per scultura ""Le streghe""/ (Drawing - Project for Sculpture ""The Witches"")",1960,"ochre and red watercolour, burn marks and green wax crayon on cardboard",502 x 347 mm,works on paper/canvas,drawings,,,DIS_60_005.jpg,3293,3293,publish
catalogo,13294,DIS 60 004,Disegno - Progetto per scultura / (Drawing - Project for Sculpture),1960,brush point burn marks on paper ,482 x 313 mm,works on paper/canvas,drawings,,,DIS_60_004.jpg,3294,3294,publish
catalogo,13296,DIS 60 003,Disegno - Progetto per scultura / (Drawing - Project for Sculpture),1960,brush point burn marks on paper,488 x 350 mm,works on paper/canvas,drawings,,,DIS_60_003.jpg,3296,3296,publish
catalogo,13297,DIS 59 003,"Disegno - Progetto per scultura  ""Il carro dei rabdomanti"" / (Drawing - Project for Sculpture ""The Cart of Water Diviners""",1959,"burn marks, pastel, tempera and charcoal on paper",503 x 348 mm,works on paper/canvas,drawings,,,DIS_59_003.jpg,3297,3297,publish
catalogo,13361,1953 25,Senza titolo / (Untitled),circa 1953,terracotta,,Sculptures,,,,1953_25.jpg,3361,3361,publish
catalogo,13362,1953 26,Senza titolo / (Untitled),circa 1953,terracotta,"h. 24,7 cm",Sculptures,,,,1953_26.jpg,3362,3362,publish
catalogo,13374,T 50 010,Senza titolo / (Untitled),circa 1950,pastel and sanguine pencil on cardboard,500 x 700 mm,works on paper/canvas,mixed media,,,T_50_010.jpg,3374,3374,publish
catalogo,13376,PA 25,Vaso pavone / (Peacock Vase),circa 1955,glazed polychrome ceramic,31 x 31 cm,ceramics,Vases,peacock vase, ,PA_25.jpg,3376,3376,publish
catalogo,13384,T 54 001,Senza titolo / (Untitled),1954,"tempera, india ink, pastel, pencil and burn marks on paper ",700 x 1000 mm,works on paper/canvas,mixed media,,,T_54_001.jpg,3384,3384,publish
catalogo,13396,T 52 019,Senza titolo / (Untitled),1952,"tempera, pastel and burn marks on paper",699 x 996 mm,works on paper/canvas,mixed media,,,T_52_019.jpg,3396,3396,publish
catalogo,13397,T 52 020,Il Lager / (The Extermination Camp),1952,pencil and burn marks on paper ,700 x 997 mm,works on paper/canvas,mixed media,,,T_52_020.jpg,3397,3397,publish
catalogo,13398,T 52 021,Senza titolo / (Untitled),1952,"tempera, pencil and burn marks on paper",700 x 995 mm,works on paper/canvas,mixed media,,,T_52_021.jpg,3398,3398,publish
catalogo,13399,T 53 025,Senza titolo / (Untitled),1953,tempera and burn marks on cardboard  ,700 x 999 mm,works on paper/canvas,mixed media,,,T_53_025.jpg,3399,3399,publish
catalogo,13400,T 54 009,Nudo / (Nude),1954,"tempera, pastel and burn marks on paper",695 x 997 mm,works on paper/canvas,mixed media,,,T_54_009.jpg,3400,3400,publish
catalogo,13401,T 54 008,Senza titolo / (Untitled),1954,tempera and paint on cardboard,698 x 997 mm,works on paper/canvas,mixed media,,,T_54_008.jpg,3401,3401,publish
catalogo,13402,T 54 035,Senza titolo / (Untitled),1954,tempera on paper,700 x 1000 mm,works on paper/canvas,mixed media,,,T_54_035.jpg,3402,3402,publish
catalogo,13413,T 54 022,Senza titolo / (Untitled),1954,"tempera, pastel and collage on paper ",700 mm x 1000 mm,works on paper/canvas,mixed media,,,T_54_022.jpg,3413,3413,publish
catalogo,13414,T 55 001,Senza titolo / (Untitled),1955,"tempera, pencil, pastel and burn marks on paper",700 x 996 mm,works on paper/canvas,mixed media,,,T_55_001.jpg,3414,3414,publish
catalogo,13415,T 55 003,Senza titolo / (Untitled),1955,pencil and tempera on paper,700 x 1000 mm,works on paper/canvas,mixed media,,,T_55_003.jpg,3415,3415,publish
catalogo,13433,T 52 003,Senza titolo / (Untitled),1952,"tempera, pencil, burn marks and collage on paper ",693 x 996 mm,works on paper/canvas,mixed media,,,T_52_003.jpg,3433,3433,publish
catalogo,13434,T 53 002,Senza titolo / (Untitled),1953,tempera and burn marks on cardboard  ,700 x 999 mm,works on paper/canvas,mixed media,,,T_53_002.jpg,3434,3434,publish
catalogo,13435,T 54 002,Senza titolo / (Untitled),1954,tempera and pastel on paper,695 x 995 mm,works on paper/canvas,mixed media,,,T_54_002.jpg,3435,3435,publish
catalogo,13436,T 54 003,Senza titolo / (Untitled),1954,"tempera, pastel and burn marks on paper",700 x 1000 mm,works on paper/canvas,mixed media,,,T_54_003.jpg,3436,3436,publish
catalogo,13437,T 54 020,Senza titolo / (Untitled),1954,"tempera, pastel and varnish on cardboard",998 x 698 mm,works on paper/canvas,mixed media,, ,T_54_020.jpg,3437,3437,publish
catalogo,13440,T 55 033,Senza titolo / (Untitled),1955,tempera and burn marks on paper,697 x 1000 mm,works on paper/canvas,mixed media,,,T_55_033.jpg,3440,3440,publish
catalogo,13441,T 55 036,Senza titolo / (Untitled),1955,tempera and burn marks on paper,700 x 1000 mm,works on paper/canvas,mixed media,, ,T_55_036.jpg,3441,3441,publish
catalogo,13444,T 52 022,Senza titolo / (Untitled),1952,"tempera, pastel and oil on cardboard",700 x 1000 mm,works on paper/canvas,mixed media,,,T_52_022.jpg,3444,3444,publish
catalogo,13445,T 53 023,Senza titolo / (Untitled),1953,"tempera, pastel and oil on cardboard",700 x 1000 mm,works on paper/canvas,mixed media,,,T_53_023.jpg,3445,3445,publish
catalogo,13446,T 54 036,Senza titolo / (Untitled),1954,tempera and pastel on carboard,700 x 1000 mm,works on paper/canvas,mixed media,,,T_54_036.jpg,3446,3446,publish
catalogo,13447,T 50 005,Senza titolo / (Untitled),circa 1950,"tempera, pastel and oil on cardboard",700 x 1000 mm,works on paper/canvas,mixed media,,,T_50_005.jpg,3447,3447,publish
catalogo,13472,T 52 023,Senza titolo / (Untitled),circa 1952,"tempera, pastel and varnish on cardboard ",699 x 1001 mm,works on paper/canvas,mixed media,,,T_52_023.jpg,3472,3472,publish
catalogo,13473,T 54 019,Einstein ,1954,"tempera, pastel and pencil on paper ",700 x 1000 mm,works on paper/canvas,mixed media,,,T_54_019.jpg,3473,3473,publish
catalogo,13492,T 55 053,Senza titolo / (Untitled),1955,burn marks and conté pencil on paper ,700 x 1000 mm,works on paper/canvas,mixed media,,,T_55_053.jpg,3492,3492,publish
catalogo,13493,T 55 054,Senza titolo / (Untitled),1955,burn marks and pastel on cardboard,699 x 995 mm,works on paper/canvas,mixed media,,,T_55_054.jpg,3493,3493,publish
catalogo,13496,T 55 035,Senza titolo / (Untitled),1955,tempera and pastel on paper,700 x 1000 mm,works on paper/canvas,mixed media,,"  "" ",T_55_035.jpg,3496,3496,publish
catalogo,13498,T 54 032,Senza titolo / (Untitled),circa 1954,mixed media on paper,330 x 500 mm,works on paper/canvas,mixed media,,,T_54_032.jpg,3498,3498,publish
catalogo,13499,T 54 012,Senza titolo / (Untitled),1954,tempera and pastel on paper,334 x 498 mm,works on paper/canvas,mixed media,,,T_54_012.jpg,3499,3499,publish
catalogo,13500,T 55 009,Senza titolo / (Untitled),1955,tempera and pastel on paper,335 x 500 mm,works on paper/canvas,mixed media,,,T_55_009.jpg,3500,3500,publish
catalogo,13501,T 55 019,Senza titolo / (Untitled),1955,pastel and burn marks on paper,326 x 500 mm,works on paper/canvas,mixed media,,,T_55_019.jpg,3501,3501,publish
catalogo,13502,T 55 015,Senza titolo / (Untitled),1955,pastel and burn marks on paper,500 x 305 mm,works on paper/canvas,mixed media,,,T_55_015.jpg,3502,3502,publish
catalogo,13503,T 55 017,Senza titolo / (Untitled),1955,pastel and tempera on paper,501 x 351 mm,works on paper/canvas,mixed media,,,T_55_017.jpg,3503,3503,publish
catalogo,13504,T 55 021,Senza titolo / (Untitled),1955,tempera on paper,"33,5 x 49,7 cm",works on paper/canvas,mixed media,,,T_55_021.jpg,3504,3504,publish
catalogo,13505,T 55 022,Arabesque ,1955,tempera and burn marks on paper,335 x 500 mm,works on paper/canvas,mixed media,,,T_55_022.jpg,3505,3505,publish
catalogo,13506,T 55 023,Senza titolo / (Untitled),1955,tempera and burn marks on paper,336 x 500 mm,works on paper/canvas,mixed media,,,T_55_023.jpg,3506,3506,publish
catalogo,13507,T 55 024,Senza titolo / (Untitled),1955,tempera and burn marks on paper,338 x 482 mm,works on paper/canvas,mixed media,,,T_55_024.jpg,3507,3507,publish
catalogo,13508,T 55 025,Senza titolo / (Untitled),1955,tempera and burn marks on paper,325 x 488 mm,works on paper/canvas,mixed media,,,T_55_025.jpg,3508,3508,publish
catalogo,13509,T 55 026,Senza titolo / (Untitled),1955,tempera and burn marks on paper,338 x 501 mm,works on paper/canvas,mixed media,,,T_55_026.jpg,3509,3509,publish
catalogo,13510,T 55 027,Senza titolo / (Untitled),1955,tempera and burn marks on paper,497 x 348 mm,works on paper/canvas,mixed media,,,T_55_027.jpg,3510,3510,publish
catalogo,13511,T 55 030,Bagnanti / (The Bathers),1955,charcoal and burn marks on paper,350 x 502 mm,works on paper/canvas,mixed media,,,T_55_030.jpg,3511,3511,publish
catalogo,13513,T 55 041,La Zingara e il soldato / (The Gypsy and the Soldier),circa 1955,tempera and ink on paper,408 x 385 mm,works on paper/canvas,mixed media,,"   "" "" ",T_55_041.jpg,3513,3513,publish
catalogo,13545,T 53 008,Senza titolo / (Untitled),1953,tempera and pastel on paper,326 x 499 mm,works on paper/canvas,mixed media,,,T_53_008.jpg,3545,3545,publish
catalogo,13547,T 54 025,Senza titolo / (Untitled),1954,tempera and pastel on paper,350 x 500 mm,works on paper/canvas,mixed media,,,T_54_025.jpg,3547,3547,publish
catalogo,13560,1959-1960 16,Toro / (Bull),1959-1960,brass,"21 x 12,5 x 7 cm",Sculptures,,,,1959-1960_16.jpg,3560,3560,publish
catalogo,13568,1954 12,Senza titolo / (Untitled),circa 1954,terracotta,25 x 8 x 5 cm,Sculptures,,,,1954_12.jpg,3568,3568,publish
catalogo,13575,T 54 023/23-1,Senza titolo / (Untitled),1954,"tempera, pastel and pencil on paper ",350 x 500 mm,works on paper/canvas,mixed media,, ,T_54_023/23-1.jpg,3575,3575,publish
catalogo,13576,T 54 018,I viaggi / (The Journeys),1954,tempera and india ink on paper,376 x 325 mm,works on paper/canvas,mixed media,,   ,T_54_018.jpg,3576,3576,publish
catalogo,13577,T 55 032,I viaggi / (The Journeys),1955,"tempera, pastel and burn marks on paper",323 x 247 mm,works on paper/canvas,mixed media ,,  ,T_55_032.jpg,3577,3577,publish
catalogo,13580,T 56 010,Senza titolo / (Untitled),1956,"tempera, pastel and conté pencil on paper",334 x 426 mm,works on paper/canvas,mixed media,,,T_56_010.jpg,3580,3580,publish
catalogo,13581,T 56 012,Ruote / (Wheels),1956,tempera on paper,350 x 502 mm,works on paper/canvas,mixed media,,,T_56_012.jpg,3581,3581,publish
catalogo,13582,T 56 014,Senza titolo / (Untitled),1956,tempera and pastel on paper,336 x 483 mm,works on paper/canvas,mixed media,,,T_56_014.jpg,3582,3582,publish
catalogo,13602,T 50 008,Senza titolo / (Untitled),circa 1950,tempera and pencil on paper,483 x 661 mm,works on paper/canvas,mixed media,,,T_50_008.jpg,3602,3602,publish
catalogo,13622,1953 27,Senza titolo / (Untitled),circa 1953,terracotta,"24,2 x 8 x 6,5 cm",Sculptures,,,,1953_27.jpg,3622,3622,publish
catalogo,13623,1955-1956 15,Kore ,circa 1955-1956 ,glazed polychrome ceramic,"103 x 28,05 x 20 cm",Sculptures,,,,1955-1956_15.jpg,3623,3623,publish
catalogo,13624,1955 18,Kore ,circa 1955,terracotta,h. circa 45 cm,Sculptures,terracotta,,,1955_18.jpg,3624,3624,publish
catalogo,13668,T 56 046 A,"Alfabeto, A / (Alphabet, A)",1956,tempera and burn marks on paper,350 x 320 mm,works on paper/canvas,mixed media,,,T_56_046_A.jpg,3668,3668,publish
catalogo,13669,T 56 046 B,"Alfabeto, B / (Alphabet, B)",1956,tempera and burn marks on paper,350 x 320 mm,works on paper/canvas,mixed media,,,T_56_046_B.jpg,3669,3669,publish
catalogo,13670,T 56 046 C ,"Alfabeto, C / (Alphabet, C)",1956,tempera and burn marks on paper,350 x 320 mm,works on paper/canvas,mixed media,,,T_56_046_C_.jpg,3670,3670,publish
catalogo,13671,T 56 046 D,"Alfabeto, D / (Alphabet, D)",1956,tempera and burn marks on paper,350 x 320 mm,works on paper/canvas,mixed media,,,T_56_046_D.jpg,3671,3671,publish
catalogo,13672,T 56 046 E,"Alfabeto, E / (Alphabet, E)",1956,tempera and burn marks on paper,350 x 320 mm,works on paper/canvas,mixed media,,,T_56_046_E.jpg,3672,3672,publish
catalogo,13673,T 56 046 F,"Alfabeto, F / (Alphabet, F)",1956,tempera and burn marks on paper,350 x 320 mm,works on paper/canvas,mixed media,,,T_56_046_F.jpg,3673,3673,publish
catalogo,13674,T 56 046 G,"Alfabeto, G / (Alphabet, G)",1956,tempera and burn marks on paper,350 x 320 mm,works on paper/canvas,mixed media,,,T_56_046_G.jpg,3674,3674,publish
catalogo,13675,T 56 046 H,"Alfabeto, H / (Alphabet, H)",1956,"tempera, pastel and burn marks on paper",350 x 320 mm,works on paper/canvas,mixed media,,,T_56_046_H.jpg,3675,3675,publish
catalogo,13676,T 56 046 I ,"Alfabeto, I / (Alphabet, I)",1956,"tempera, pastel and burn marks on paper",350 x 320 mm,works on paper/canvas,mixed media,,,T_56_046_I_.jpg,3676,3676,publish
catalogo,13677,T 56 046 L,"Alfabeto, L / (Alphabet, L) ",1956,"tempera, pastel and burn marks on paper",350 x 320 mm,works on paper/canvas,mixed media,, ,T_56_046_L.jpg,3677,3677,publish
catalogo,13678,T 56 046 M ,"Alfabeto, M / (Alphabet, M)",1956,tempera and burn marks on paper,350 x 320 mm,works on paper/canvas,mixed media,,,T_56_046_M_.jpg,3678,3678,publish
catalogo,13679,T 56 046 N ,"Alfabeto, N / (Alphabet, N)",1956,tempera and burn marks on paper,350 x 320 mm,works on paper/canvas,mixed media,,,T_56_046_N_.jpg,3679,3679,publish
catalogo,13680,T 56 046 O ,"Alfabeto, O / (Alphabet, O)",1956,tempera and burn marks on paper,350 x 320 mm,works on paper/canvas,mixed media,,,T_56_046_O_.jpg,3680,3680,publish
catalogo,13681,T 56 046 P,"Alfabeto, P / (Alphabet, P)",1956,tempera and burn marks on paper,350 x 320 mm,works on paper/canvas,mixed media,,,T_56_046_P.jpg,3681,3681,publish
catalogo,13682,T 56 046 Q ,"Alfabeto, Q / (Alphabet, Q)",1956,tempera and burn marks on paper,350 x 320 mm,works on paper/canvas,mixed media,,,T_56_046_Q_.jpg,3682,3682,publish
catalogo,13683,T 56 046 R ,"Alfabeto, R / (Alphabet, R)",1956,tempera and burn marks on paper,350 x 320 mm,works on paper/canvas,mixed media,,,T_56_046_R_.jpg,3683,3683,publish
catalogo,13684,T 56 046 S,"Alfabeto, S / (Alphabet, S)",1956,tempera and burn marks on paper,350 x 320 mm,works on paper/canvas,mixed media,,,T_56_046_S.jpg,3684,3684,publish
catalogo,13685,T 56 046 T,"Alfabeto, T / (Alphabet, T)",1956,tempera and burn marks on paper,350 x 320 mm,works on paper/canvas,mixed media,,,T_56_046_T.jpg,3685,3685,publish
catalogo,13686,T 56 046 U ,"Alfabeto, U / (Alphabet, U)",1956,tempera and burn marks on paper,350 x 320 mm,works on paper/canvas,mixed media,,,T_56_046_U_.jpg,3686,3686,publish
catalogo,13687,T 56 046 V ,"Alfabeto, V / (Alphabet, V)",1956,tempera and burn marks on paper,350 x 320 mm,works on paper/canvas,mixed media,,,T_56_046_V_.jpg,3687,3687,publish
catalogo,13688,T 56 046 W,"Alfabeto, W / (Alphabet, W)",1956,tempera and burn marks on paper,350 x 320 mm,works on paper/canvas,mixed media,,,T_56_046_W.jpg,3688,3688,publish
catalogo,13689,T 56 046 X ,"Alfabeto, X / (Alphabet, X)",1956,"tempera, pastel and burn marks on paper",350 x 320 mm,works on paper/canvas,mixed media,,,T_56_046_X_.jpg,3689,3689,publish
catalogo,13690,T 56 046 Y ,"Alfabeto, Y / (Alphabet, Y)",1956,tempera and burn marks on paper,350 x 320 mm,works on paper/canvas,mixed media,,,T_56_046_Y_.jpg,3690,3690,publish
catalogo,13691,T 56 046 Z,"Alfabeto, Z / (Alphabet, Z)",1956,tempera and burn marks on paper,350 x 320 mm,works on paper/canvas,mixed media,,,T_56_046_Z.jpg,3691,3691,publish
catalogo,13744,1953 28,Senza titolo / (Untitled),circa 1953,glazed polychrome ceramic,"23,5 x 7,5 x 9 cm",Sculptures,,,   ,1953_28.jpg,3744,3744,publish
catalogo,13866,1954 4B,Senza titolo / (Untitled),circa 1954,mixed media on plaster,"54 x 75 x 3,5 cm",bas reliefs,plaster / others,,,1954_4B.jpg,3866,3866,publish
catalogo,13929,T 56 047,Senza titolo / (Untitled),circa 1956,tempera and pastel on paper ,350 x 500 mm,works on paper/canvas,mixed media,,,T_56_047.jpg,3929,3929,publish
catalogo,13973,1953 29,Senza titolo / (Untitled),circa 1953,terracotta,25 x 8 x 5 cm,Sculptures,,,,1953_29.jpg,3973,3973,publish
catalogo,14038,CT 247,Coppetta / (Bowl),circa 1953,glazed polychrome ceramic,5 x Ø 13 cm,ceramics,bowls,,,CT_247.jpg,4038,4038,publish
catalogo,14095,T 50 001,Senza titolo / (Untitled),circa 1950,"watercolour, tempera, pastel and collage on paper mounted on canvas",700 x 1000 mm,works on paper/canvas,mixed media,,,T_50_001.jpg,4095,4095,publish
catalogo,14099,T 52 001,Tre donne con turbante azzurro / (Three Women with Blue Turban),1952,"tempera, pastel and burn marks on paper ",700 x 995 mm,works on paper/canvas,mixed media,,,T_52_001.jpg,4099,4099,publish
catalogo,14100,T 52 002,Senza titolo / (Untitled),1952,tempera and burned paper mounted on canvas ,700 x 1000 mm,works on paper/canvas,mixed media,,,T_52_002.jpg,4100,4100,publish
catalogo,14101,T 52 005,Il Lager / (The Concentration Camp),1952,"pencil, tempera and burn marks on paper ",700 x 1000 mm,works on paper/canvas,mixed media,,,T_52_005.jpg,4101,4101,publish
catalogo,14102,T 52 006,Il Lager / (The Concentration Camp),1952,burn marks and pencil on paper,700 x 1000 mm,works on paper/canvas,mixed media,,,T_52_006.jpg,4102,4102,publish
catalogo,14103,T 52 007,Senza titolo / (Untitled),1952,tempera and pencil on carboard,475 x 700 mm,works on paper/canvas,mixed media,,,T_52_007.jpg,4103,4103,publish
catalogo,14104,T 52 008,Senza titolo / (Untitled),1952,tempera and burn marks on paper,700 x 500 mm,works on paper/canvas,mixed media,,   ,T_52_008.jpg,4104,4104,publish
catalogo,14105,T 52 010,Senza titolo / (Untitled),1952,"tempera, pastel and burn marks on paper mounted on canvas",500 x 700 mm,works on paper/canvas,mixed media,,,T_52_010.jpg,4105,4105,publish
catalogo,14110,T 53 030,Senza titolo / (Untitled),1953,watercolour and charcoal on paper ,350 x 250 mm,works on paper/canvas,mixed media,,,T_53_030.jpg,4110,4110,publish
catalogo,14111,T 53 001,Senza titolo / (Untitled),1953,burned paper and collage on paper mounted on canvas,700 x 1000 mm,works on paper/canvas,mixed media,,,T_53_001.jpg,4111,4111,publish
catalogo,14117,DIS 52 001,Disegno / (Drawing),1952 ,pencil on paper,315 x 223 mm,works on paper/canvas,drawings,, ,DIS_52_001.jpg,4117,4117,publish
catalogo,14135,T 53 012,Senza titolo / (Untitled),1953,watercolour and burn marks on cardboard,497 x 696 mm,works on paper/canvas,mixed media,,,T_53_012.jpg,4135,4135,publish
catalogo,14137,T 53 013,Senza titolo / (Untitled),1953,tempera and pastel on cardboard,512 x 715 mm,works on paper/canvas,mixed media,,,T_53_013.jpg,4137,4137,publish
catalogo,14138,T 53 020,Senza titolo / (Untitled),circa 1953 ,tempera and pastel on paper,325 x 500 mm,works on paper/canvas,mixed media,,,T_53_020.jpg,4138,4138,publish
catalogo,14142,T 54 011,Senza titolo / (Untitled),1954,burn marks and tempera on paper  ,350 x 500 mm,works on paper/canvas,mixed media,,  ,T_54_011.jpg,4142,4142,publish
catalogo,14143,T 54 013,Senza titolo / (Untitled),1954,tempera and pastel on paper,472 x 700 mm,works on paper/canvas,mixed media,,,T_54_013.jpg,4143,4143,publish
catalogo,14144,T 54 014,Senza titolo / (Untitled),1954,tempera and burn marks on paper,500 x 700 mm,works on paper/canvas,mixed media,,,T_54_014.jpg,4144,4144,publish
catalogo,14145,T 54 015,Senza titolo / (Untitled),1954,tempera and oil on cardboard,476 x 65 mm,works on paper/canvas,mixed media,,,T_54_015.jpg,4145,4145,publish
catalogo,14146,T 54 016,Senza titolo / (Untitled),1954,tempera on cardboard,480 x 690 mm,works on paper/canvas,mixed media,,,T_54_016.jpg,4146,4146,publish
catalogo,14147,T 54 017,Senza titolo / (Untitled),1954,tempera and pastel on cardboard,465 x 692 mm,works on paper/canvas,mixed media,,,T_54_017.jpg,4147,4147,publish
catalogo,14148,T 54 026,Senza titolo / (Untitled),1954,tempera and pastel on cardboard,470 x 700 mm,works on paper/canvas,mixed media,,,T_54_026.jpg,4148,4148,publish
catalogo,14157,T 55 011,Senza titolo / (Untitled),circa 1955,tempera and india ink on paper,640 x 450 mm,works on paper/canvas,mixed media,,,T_55_011.jpg,4157,4157,publish
catalogo,14160,T 55 014,Senza titolo / (Untitled),1955,"tempera, pastel and burn marks on paper ",250 x 335 mm,works on paper/canvas,mixed media,,    ,T_55_014.jpg,4160,4160,publish
catalogo,14207,T 55 020,Senza titolo / (Untitled),1955,"tempera, pastel and burn marks on paper",310 x 335 mm,works on paper/canvas,mixed media,, ,T_55_020.jpg,4207,4207,publish
catalogo,14208,T 55 028,Senza titolo / (Untitled),1955,burn marks on paper,315 x 335 mm,works on paper/canvas,mixed media,,"  "" ",T_55_028.jpg,4208,4208,publish
catalogo,14209,T 55 029,Senza titolo / (Untitled),1955,tempera and burn marks on paper,310 x 425 mm,works on paper/canvas,mixed media ,,   ,T_55_029.jpg,4209,4209,publish
catalogo,14210,T 55 031,Senza titolo / (Untitled),1955,pastel and burn marks on paper,305 x 440 mm,works on paper/canvas,mixed media,,"  "" ",T_55_031.jpg,4210,4210,publish
catalogo,14211,T 55 034,Senza titolo / (Untitled),1955,tempera on paper,660 x 400 mm,works on paper/canvas,mixed media,,,T_55_034.jpg,4211,4211,publish
catalogo,14213,T 56 002,Senza titolo / (Untitled),1956,tempera and charcoal on cardboard,470 x 700 mm,works on paper/canvas,mixed media,,,T_56_002.jpg,4213,4213,publish
