post_type,post_id,codice_electa,post_title,anno_opera,tax_materiali,misure_opera,tax_tipologia_opera,tax_tipo_opera,tax_subtipo_opera,esemplari_opera,file_immagine.jpg,id_import,codice_opera,post_status
catalogo,11973,1959 9B,Senza titolo / (Untitled),circa 1959,glazed polychrome ceramic,51 x 70 cm,bas reliefs,ceramic,,,1959_9B.jpg,1973,1973,publish
catalogo,11976,1958 9B ,Senza titolo / (Untitled),circa 1958,glazed polychrome ceramic,"45 x 60,5 cm",bas reliefs,ceramic,,,1958_9B_.jpg,1976,1976,publish
catalogo,11977,1958 10B,Senza titolo / (Untitled),circa 1958,glazed polychrome ceramic,37 x 57 cm,bas reliefs,ceramic,,,1958_10B.jpg,1977,1977,publish
catalogo,11978,1959 18B,Senza titolo / (Untitled),circa 1959,glazed polychrome ceramic,51 x 69 cm,bas reliefs,ceramic,,,1959_18B.jpg,1978,1978,publish
catalogo,11979,1955 12B,Senza titolo / (Untitled),circa 1955,glazed polychrome ceramic,40 x 66 cm,bas reliefs,ceramic,,,1955_12B.jpg,1979,1979,publish
catalogo,11981,1959 15B,Senza titolo / (Untitled),circa 1959,glazed polychrome ceramic,57 x 37 cm,bas reliefs,ceramic,,,1959_15B.jpg,1981,1981,publish
catalogo,11995,PI 004,Senza titolo / (Untitled),circa 1958 ,glazed polychrome ceramic,50 x 70 cm,bas reliefs,ceramic,,,PI_004.jpg,1995,1995,publish
catalogo,11997,PI 009,Senza titolo / (Untitled),circa 1958,glazed polychrome ceramic,51 x 70 cm,bas reliefs,ceramic,,,PI_009.jpg,1997,1997,publish
catalogo,11999,PI 011,Senza titolo / (Untitled),circa 1958 ,glazed polychrome ceramic,50 x 70 cm,bas reliefs,ceramic,,,PI_011.jpg,1999,1999,publish
catalogo,12000,PI 023,Senza titolo / (Untitled),circa 1958,glazed polychrome ceramic,47 x 47 cm,bas reliefs,ceramic,,,PI_023.jpg,2000,2000,publish
catalogo,12004,PI 016,Senza titolo / (Untitled),circa 1955,glazed polychrome ceramic,40 x 50 cm,bas reliefs,ceramic,,,PI_016.jpg,2004,2004,publish
catalogo,12005,1955 22B,Senza titolo / (Untitled),circa 1955,glazed polychrome ceramic,"33 x 46,5 cm",bas reliefs,ceramic,,,1955_22B.jpg,2005,2005,publish
catalogo,12051,1955-1956 13,Kore ,1955-1956,glazed ceramic,107 x 30 x 22 cm,Sculptures,,,,1955-1956_13.jpg,2051,2051,publish
catalogo,12066,TE 012,Servizio da tè / (Tea Set),circa 1950,glazed polychrome ceramic,5 x Ø 12 cm (with the handle),ceramics,coffee and tea set,,,TE_012.jpg,2066,2066,publish
catalogo,12092,TAV 50 002,Tavolo / (Table),circa 1950,glazed ceramic and wood,"70 x 58,7 x 70 cm",ceramics,others,,,TAV_50_002.jpg,2092,2092,publish
catalogo,12097,1954 13,Cavallo e cavaliere / (Horse and Cavalier),circa 1954,glazed ceramic,"26 x 13,5 x 7 cm",sculptures,,,,1954_13.jpg,2097,2097,publish
catalogo,12099,BE 083,Pesce / (Fish),circa 1954,glazed polychrome ceramic and glass,26 x 34 cm,ceramics,animals,,,BE_083.jpg,2099,2099,publish
catalogo,12101,PA 3,Vaso pavone / (Peacock Vase),circa 1954,glazed polychrome ceramic,60 x 76 x 33 cm,ceramics,vases,peacock vase,,PA_3.jpg,2101,2101,publish
catalogo,12102,PA 19,Vaso pavone / (Peacock Vase) ,circa 1954,glazed polychrome ceramic,46 x 52 x 33 cm,ceramics,vases,peacock vase,   ,PA_19.jpg,2102,2102,publish
catalogo,12106,ASP 001,Angelo / (Angel),circa 1954,glazed polychrome ceramic,"35,5 x 25,5 x 5,5 cm",ceramics,sacred,,,ASP_001.jpg,2106,2106,publish
catalogo,12107,TE 013,Servizio da tè / (Tea Set),circa 1950,glazed polychrome ceramic,5 x Ø 12 cm (with the handle),ceramics,coffee and tea set,,,TE_013.jpg,2107,2107,publish
catalogo,12108,TE 011,Servizio da tè / (Tea Set),circa 1950,glazed polychrome ceramic,"4,5 x Ø 13 cm (with the handle)",ceramics,coffee and tea set,,,TE_011.jpg,2108,2108,publish
catalogo,12110,ONU 001,Bambini / (Children),circa 1951,glazed ceramic,17 x 13 x 7 cm,ceramics,Onu,,,ONU_001.jpg,2110,2110,publish
catalogo,12111,BE 081,Cavallino / (Little Horse),circa 1951,glazed ceramic,21 x 20 x 9 cm,ceramics,animals,,,BE_081.jpg,2111,2111,publish
catalogo,12122,1955 11,Kore ,circa 1955,glazed polychrome ceramic,107 x 33 x 27 cm,sculptures,,,,1955_11.jpg,2122,2122,publish
catalogo,12128,VA 160,Vaso / (Vase),circa 1952,glazed polychrome ceramic,18 x 18 x 11 cm,ceramics,Vases,Chinese vase,,VA_160.jpg,2128,2128,publish
